,base_of_brightest_echo,height_of_brightest_echo,brightest_ref,average_echo,average_echo_depth,mean_velocity,mean_Turbulence,lowest_elevation_ref,datetime
0,0.3578007030467127,0.536700462581147,18.0,16.22004738697793,0.17889975953443432,0.09450947309784304,1.466732697150862,17.5,2021-08-04 03:00:00
1,0.3578007030467127,0.536700462581147,7.5,6.427459246922684,0.17889975953443432,0.049787761051539814,1.0,7.5,2021-08-04 03:10:00
2,0.536700462581147,0.536700462581147,5.0,5.0,0.0,0.0370639515835843,1.0,-32.0,2021-08-04 03:20:00
3,0.3578007030467127,0.4770672766412093,3.5,3.257191607942059,0.1192665735944966,0.07943125385302786,1.0,3.0,2021-08-04 03:30:00
4,0.2981673329325177,0.3578007030467127,12.0,10.308494843380808,0.059633370114195006,0.06997604103717348,1.0,7.5,2021-08-04 03:40:00
5,0.3578007030467127,0.3578007030467127,8.5,7.093435601897661,0.17889975953443432,0.10120914333805892,1.0,8.5,2021-08-04 03:50:00
6,-1.0,-1.0,,,0.0,0.03971562692651393,1.0,-32.0,2021-08-04 04:00:00
7,0.2981673329325177,0.2981673329325177,3.0,3.0,0.0,0.12695395020390596,1.0,3.0,2021-08-04 04:10:00
8,0.2981673329325177,0.3578007030467127,4.5,3.6141260713035854,0.059633370114195006,0.1505080068240179,1.0,2.5,2021-08-04 04:20:00
9,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 04:30:00
10,-1.0,-1.0,,,0.0,0.09229558137816977,1.0,-32.0,2021-08-04 04:40:00
11,-1.0,-1.0,,,0.0,0.04324322898167057,1.0,-32.0,2021-08-04 04:50:00
12,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 05:00:00
13,-1.0,-1.0,,,0.0,0.03350024911990894,1.0,-32.0,2021-08-04 05:10:00
14,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 05:20:00
15,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 05:30:00
16,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 05:40:00
17,-1.0,-1.0,,,0.0,0.028257559503529848,1.0,-32.0,2021-08-04 05:50:00
18,-1.0,-1.0,,,0.0,0.054209985294204566,1.0,-32.0,2021-08-04 06:00:00
19,-1.0,-1.0,,,0.0,0.09450947309784304,1.0,-32.0,2021-08-04 06:10:00
20,0.2981673329325177,0.2981673329325177,8.5,8.5,0.0,0.09835040210318408,1.0,-32.0,2021-08-04 06:20:00
21,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 06:30:00
22,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 06:40:00
23,-1.0,-1.0,,,0.0,0.13923176494375758,1.0,-32.0,2021-08-04 06:50:00
24,0.2981673329325177,0.2981673329325177,14.0,11.628620384793983,0.0,0.2839363808794682,1.1982595494638593,6.0,2021-08-04 07:00:00
25,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 07:10:00
26,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 07:20:00
27,-1.0,-1.0,,,0.0,0.11204403170675714,1.0,-32.0,2021-08-04 07:30:00
28,-1.0,-1.0,,,0.0,0.11659757705148992,1.0,-32.0,2021-08-04 07:40:00
29,0.2981673329325177,0.2981673329325177,10.5,8.568032457181761,0.0,0.0661761626133213,1.1339180763222527,5.0,2021-08-04 07:50:00
30,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 08:00:00
31,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 08:10:00
32,-1.0,-1.0,,,0.0,0.0661761626133213,1.0,-32.0,2021-08-04 08:20:00
33,0.2981673329325177,0.2981673329325177,6.0,5.314440850236052,0.0,0.12695395020390596,1.0,4.5,2021-08-04 08:30:00
34,0.2981673329325177,0.2981673329325177,7.5,6.2540486677250415,0.0,0.16387635563977052,1.1273890287901864,4.5,2021-08-04 08:40:00
35,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 08:50:00
36,-1.0,-1.0,,,0.0,0.06077778759058466,1.0,-32.0,2021-08-04 09:00:00
37,-1.0,-1.0,,,0.0,0.0661761626133213,1.0,-32.0,2021-08-04 09:10:00
38,-1.0,-1.0,,,0.0,0.12695395020390596,1.0,-32.0,2021-08-04 09:20:00
39,0.2981673329325177,0.2981673329325177,3.5,3.5,0.0,0.19313011281722725,1.0047237758708398,0.0,2021-08-04 09:30:00
